počty,LCC,řaz1,řaz2,LCC-kategorie,LCC-slovní vyj.,Thema-znak,Thema-slovní vyj. ang.,Sémantická ztráta,pozn.,THEMA do záznamu (znak),THEMA do záznamu (slovně)
20,QB982,QB,982,astronomy,cosmology,PGK,Cosmology and the universe,EQT,,,
2,QB985,QB,985,astronomy,cosmology,PGK,Cosmology and the universe,EQT,,,
4,QB991.B54,QB,991,astronomy,cosmology,PGK,Cosmology and the universe,BT,,,
5,QB991.C64,QB,991,astronomy,cosmology,PGK,Cosmology and the universe,BT,,,
2,QB991.C66,QB,991,astronomy,cosmology,PGK,Cosmology and the universe,BT,,,
3,QB991.C92,QB,991,astronomy,cosmology,PGK,Cosmology and the universe,BT,,,
3,QB991.E94,QB,991,astronomy,cosmology,PGK,Cosmology and the universe,BT,,,
2,QB991.I54,QB,991,astronomy,cosmology,PGK,Cosmology and the universe,BT,,,
1,QB991.Q36,QB,991,astronomy,cosmology,PGK,Cosmology and the universe,BT,,,
134,QC1,QC,1,physics,,PH+GBCS,Physics,EQT,,,
1,QC3,QC,3,physics,,PH,Physics,EQT,,,
63,QC5,QC,5,physics,,PH+GBCD,Physics,EQT,,,
1,QC5.56,QC,5,physics,,PH,Physics,BT,,,
16,QC6,QC,6,physics,,PH,Physics,BT,,,
3,QC6.2,QC,6,physics,,PH,Physics,BT,,,
1,QC6.4.C56,QC,6,physics,,PHF,Materials / States of matter,BT,,,
1,QC6.4.D5,QC,6,physics,,PH,Physics,BT,,,
2,QC6.4.R42,QC,6,physics,,PH,Physics,BT,,,
1,QC6.8,QC,6,physics,,PH,Physics,BT,,,
16,QC7,QC,7,physics,,PH,Physics,BT,,,
1,QC9.C95,QC,9,physics,,PH,Physics,BT,,,
1,QC9.S65,QC,9,physics,,PH,Physics,BT,,,
10,QC15,QC,15,physics,,PH+DNBT,Physics,BT,,,
1,QC16.B45,QC,16,physics,,PH+DNBT,Physics,BT,,,
1,QC16.B87,QC,16,physics,,PH+DNBT,Physics,BT,,,
1,QC16.D57,QC,16,physics,,PH+DNBT,Physics,BT,,,
2,QC16.D7,QC,16,physics,,PH+DNBT,Physics,BT,,,
19,QC16.E5,QC,16,physics,,PH+DNBT,Physics,BT,,,
1,QC16.E52,QC,16,physics,,PH+DNBT,Physics,BT,,,
1,QC16.F2,QC,16,physics,,PH+DNBT,Physics,BT,,,
4,QC16.F49,QC,16,physics,,PH+DNBT,Physics,BT,,,
1,QC16.F84,QC,16,physics,,PH+DNBT,Physics,BT,,,
1,QC16.G46,QC,16,physics,,PH+DNBT,Physics,BT,,,
1,QC16.G53,QC,16,physics,,PH+DNBT,Physics,BT,,,
6,QC16.H39,QC,16,physics,,PH+DNBT,Physics,BT,,,
1,QC16.H6,QC,16,physics,,PH+DNBT,Physics,BT,,,
1,QC16.M34,QC,16,physics,,PH+DNBT,Physics,BT,,,
2,QC16.M4,QC,16,physics,,PH+DNBT,Physics,BT,,,
1,QC16.M45,QC,16,physics,,PH+DNBT,Physics,BT,,,
6,QC16.N7,QC,16,physics,,PH+DNBT,Physics,BT,,,
1,QC16.O62,QC,16,physics,,PH+DNBT,Physics,BT,,,
1,QC16.P6,QC,16,physics,,PH+DNBT,Physics,BT,,,
1,QC16.P73,QC,16,physics,,PH+DNBT,Physics,BT,,,
1,QC16.P76,QC,16,physics,,PH+DNBT,Physics,BT,,,
1,QC16.S77,QC,16,physics,,PH+DNBT,Physics,BT,,,
1,QC16.T75,QC,16,physics,,PH+DNBT,Physics,BT,,,
1,QC16.V36,QC,16,physics,,PH+DNBT,Physics,BT,,,
57,QC19.2,QC,19,physics,mathematical physics,PHU,Mathematical physics,EQT,,,
2,QC19.3,QC,19,physics,mathematical physics,PHU,Mathematical physics,EQT,,,
47,QC20,QC,20,physics,mathematical physics,PHU,Mathematical physics,EQT,,,
2,QC20.6,QC,20,physics,mathematical physics,PHU,Mathematical physics,BT,,,
1,QC20.7.A4,QC,20,physics,mathematical physics,PHU,Mathematical physics,BT,,,
1,QC20.7.B38,QC,20,physics,mathematical physics,PBTB,Bayesian inference,NT,,,
1,QC20.7.B58,QC,20,physics,mathematical physics,PHU,Mathematical physics,BT,,,
1,QC20.7.B6,QC,20,physics,mathematical physics,PHU,Mathematical physics,BT,,,
1,QC20.7.C14,QC,20,physics,mathematical physics,PHU,Mathematical physics,BT,,,
2,QC20.7.C28,QC,20,physics,mathematical physics,PHU,Mathematical physics,BT,,,
1,QC20.7.C55,QC,20,physics,mathematical physics,PHU,Mathematical physics,BT,,,
4,QC20.7.D43,QC,20,physics,mathematical physics,PHU,Mathematical physics,BT,,,
1,QC20.7.D45,QC,20,physics,mathematical physics,PHU,Mathematical physics,BT,,,
12,QC20.7.D5,QC,20,physics,mathematical physics,PBKJ,Differential calculus and equations,EQB,,,
5,QC20.7.D52,QC,20,physics,mathematical physics,PBMP,Differential and Riemannian geometry,EQB,,,
4,QC20.7.E4,QC,20,physics,mathematical physics,PHU,Mathematical physics,BT,,,
2,QC20.7.F56,QC,20,physics,mathematical physics,PHU,Mathematical physics,BT,,,
3,QC20.7.F67,QC,20,physics,mathematical physics,PBKF,Functional analysis and transforms,EQB,,,
1,QC20.7.F73,QC,20,physics,mathematical physics,PBMX,Fractal geometry,BT,,,
1,QC20.7.F75,QC,20,physics,mathematical physics,PHU,Mathematical physics,BT,,,
2,QC20.7.F84,QC,20,physics,mathematical physics,PBKF,Functional analysis and transforms,EQB,,,
1,QC20.7.F87,QC,20,physics,mathematical physics,PBKF,Functional analysis and transforms,BT,,,
5,QC20.7.G44,QC,20,physics,mathematical physics,PHU,Mathematical physics,BT,,,
1,QC20.7.G55,QC,20,physics,mathematical physics,PHU,Mathematical physics,BT,,,
1,QC20.7.G7,QC,20,physics,mathematical physics,PBV,Combinatorics and graph theory,EQB,,,
14,QC20.7.G76,QC,20,physics,mathematical physics,PBG,Groups and group theory,EQB,,,
1,QC20.7.H35,QC,20,physics,mathematical physics,PHU,Mathematical physics,BT,,,
2,QC20.7.I58,QC,20,physics,mathematical physics,PBKL,Integral calculus and equations,EQB,,,
1,QC20.7.M3,QC,20,physics,mathematical physics,PHU,Mathematical physics,BT,,,
10,QC20.7.N6,QC,20,physics,mathematical physics,PBWR,Nonlinear science,BT,,,
1,QC20.7.O75,QC,20,physics,mathematical physics,PHU,Mathematical physics,BT,,,
3,QC20.7.P3,QC,20,physics,mathematical physics,PHU,Mathematical physics,BT,,,
1,QC20.7.P7,QC,20,physics,mathematical physics,PHU,Mathematical physics,BT,,,
2,QC20.7.R43,QC,20,physics,mathematical physics,PHU,Mathematical physics,BT,,,
1,QC20.7.S3,QC,20,physics,mathematical physics,PHU,Mathematical physics,BT,,,
3,QC20.7.S64,QC,20,physics,mathematical physics,PHU,Mathematical physics,BT,,,
2,QC20.7.S65,QC,20,physics,mathematical physics,PHU,Mathematical physics,BT,,,
2,QC20.7.S68,QC,20,physics,mathematical physics,PHU,Mathematical physics,BT,,,
5,QC20.7.S8,QC,20,physics,mathematical physics,PBWL,Stochastics,EQT,,,
1,QC20.7.T65,QC,20,physics,mathematical physics,PBP,Topology,EQT,,,
3,QC20.7.V4,QC,20,physics,mathematical physics,PHU,Mathematical physics,BT,,,
2,QC20.7.W38,QC,20,physics,mathematical physics,PHU,Mathematical physics,BT,,,
5,QC20.82,QC,20,physics,mathematical physics,PHU,Mathematical physics,BT,,,
6,QC20.85,QC,20,physics,mathematical physics,PHU,Mathematical physics,BT,,,
12,QC21,QC,21,physics,,PH,Physics,BT,,,
103,QC21.2,QC,21,physics,,PH,Physics,BT,,,
52,QC21.3,QC,21,physics,,PH,Physics,BT,,,
159,QC23,QC,23,physics,,PH+YPMP5,Physics+Educational: Physics,BT,,,
13,QC23.2,QC,23,physics,,PH+YPMP5,Physics+Educational: Physics,BT,,,
28,QC24.5,QC,24,physics,,PH,Physics,BT,,,
6,QC28,QC,28,physics,,PH,Physics,BT,,,
23,QC30,QC,30,physics,,PH+YPMP5,Physics+Educational: Physics,BT,,,
140,QC32,QC,32,physics,,PH+YPMP5,Physics+Educational: Physics,BT,,,
5,QC33,QC,33,physics,,PH+YPMP5,Physics+Educational: Physics,BT,,,
71,QC35,QC,35,physics,,PH+YPMP5,Physics+Educational: Physics,BT,,,
16,QC37,QC,37,physics,,PH+YPMP5,Physics+Educational: Physics,BT,,,
47,QC39,QC,39,physics,,PH+YPMP5,Physics+Educational: Physics,BT,,,
5,QC47.A8,QC,47,physics,,PH+YPMP5,Physics+Educational: Physics,BT,,,
1,QC51.A1,QC,51,physics,,PH+YPMP5,Physics+Educational: Physics,BT,,,
1,QC51.A82,QC,51,physics,,PH+YPMP5,Physics+Educational: Physics,BT,,,
6,QC52,QC,52,physics,,PH,Physics,BT,,,
3,QC53,QC,53,physics,,PH,Physics,BT,,,
94,QC61,QC,61,physics,,PH,Physics,BT,,,
13,QC71,QC,71,physics,,PH,Physics,BT,,,
1,QC73,QC,73,physics,force and energy,PHDY,Energy,NT,,,
1,QC73.4,QC,73,physics,force and energy,PHDY,Energy,BT,,,
2,QC73.8.E53,QC,73,physics,force and energy,PHDY,Energy,BT,,,
4,QC75,QC,75,physics,,PH,Physics,BT,,,
22,QC81,QC,81,physics,weights and measures,PDD,"Scientific standards, measurement etc",BT,,,
6,QC82,QC,82,physics,weights and measures,PDD,"Scientific standards, measurement etc",BT,,,
2,QC83,QC,83,physics,weights and measures,PDD,"Scientific standards, measurement etc",BT,,,
15,QC88,QC,88,physics,weights and measures,PDD,"Scientific standards, measurement etc",BT,,,
1,QC89.C95,QC,89,physics,weights and measures,PDD,"Scientific standards, measurement etc",BT,,,
1,QC90,QC,90,physics,weights and measures,PDD,"Scientific standards, measurement etc",BT,,,
4,QC90.8,QC,90,physics,weights and measures,PDD,"Scientific standards, measurement etc",BT,,,
3,QC91,QC,91,physics,weights and measures,PDD,"Scientific standards, measurement etc",BT,,,
2,QC94,QC,94,physics,weights and measures,PDD,"Scientific standards, measurement etc",BT,,,
1,QC100,QC,100,physics,weights and measures,PDD,"Scientific standards, measurement etc",BT,,,
10,QC100.5,QC,100,physics,weights and measures,PDD,"Scientific standards, measurement etc",BT,,,
1,QC100.G7,QC,100,physics,weights and measures,PDD,"Scientific standards, measurement etc",BT,,,
2,QC100.U6,QC,100,physics,weights and measures,PDD,"Scientific standards, measurement etc",BT,,,
1,QC102,QC,102,physics,weights and measures,PDD,"Scientific standards, measurement etc",BT,,,
1,QC103,QC,103,physics,weights and measures,PDD,"Scientific standards, measurement etc",BT,,,
6,QC106,QC,106,physics,weights and measures,PDD,"Scientific standards, measurement etc",BT,,,
2,QC107,QC,107,physics,weights and measures,PDD,"Scientific standards, measurement etc",BT,,,
2,QC120,QC,120,physics,descriptive mechanics,PHDB,Elementary mechanics,AT,,,
2,QC122,QC,122,physics,descriptive mechanics,PHDB,Elementary mechanics,AT,,,
1,QC123,QC,123,physics,descriptive mechanics,PHDB,Elementary mechanics,AT,,,
4,QC125,QC,125,physics,descriptive mechanics,PHDB,Elementary mechanics,AT,,,
21,QC125.2,QC,125,physics,descriptive mechanics,PHDB,Elementary mechanics,AT,,,
13,QC127,QC,127,physics,descriptive mechanics,PHDB+YPMP5,Elementary mechanics,AT,,,
6,QC129,QC,129,physics,descriptive mechanics,PHDB+YPMP5,Elementary mechanics,AT,,,
1,QC129.5,QC,129,physics,descriptive mechanics,PHDB+YPMP5,Elementary mechanics,AT,,,
23,QC133,QC,133,physics,descriptive mechanics,PHDT,Dynamics and statics,EQB,,,
4,QC135,QC,135,physics,descriptive mechanics,PHDT,Dynamics and statics,BT,,,
1,QC136,QC,136,physics,descriptive mechanics,PHDS,Wave mechanics (vibration and acoustics),EQB,,,
2,QC137,QC,137,physics,descriptive mechanics,PHDT,Dynamics and statics,BT,,,
6,QC138,QC,138,physics,fluid mechanics,PHDF,Physics: Fluid mechanics,EQT,,,
1,QC145,QC,145,physics,fluid mechanics,PHDF,Physics: Fluid mechanics,EQT,,,
1,QC145 .2,QC,145 ,physics,fluid mechanics,PHDF,Physics: Fluid mechanics,EQT,formální chyba LCC (mezera navíc),,
24,QC145.2,QC,145,physics,fluid mechanics,PHDF,Physics: Fluid mechanics,EQT,,,
1,QC145.3,QC,145,physics,fluid mechanics,PHDF,Physics: Fluid mechanics,EQT,,,
4,QC145.4.T5,QC,145,physics,fluid mechanics,PHDF,Physics: Fluid mechanics,BT,,,
1,QC145.45.H4,QC,145,physics,fluid mechanics,PHDF,Physics: Fluid mechanics,BT,,,
2,QC145.48.S9,QC,145,physics,fluid mechanics,PHDF,Physics: Fluid mechanics,BT,,,
17,QC150,QC,150,physics,fluid mechanics,PHDF,Physics: Fluid mechanics,BT,,,
39,QC151,QC,151,physics,fluid mechanics,PHDF,Physics: Fluid mechanics,BT,,,
1,QC151.7,QC,151,physics,fluid mechanics,PHDF,Physics: Fluid mechanics,BT,,,
1,QC152.5,QC,152,physics,fluid mechanics,PHDF,Physics: Fluid mechanics,BT,,,
1,QC154,QC,154,physics,fluid mechanics,PHDF,Physics: Fluid mechanics,BT,,,
1,QC156,QC,156,physics,fluid mechanics,PHDF,Physics: Fluid mechanics,BT,,,
2,QC157,QC,157,physics,fluid mechanics,PHDF,Physics: Fluid mechanics,BT,,,
1,QC159,QC,159,physics,fluid mechanics,PHDF,Physics: Fluid mechanics,BT,,,
1,QC161,QC,161,physics,gases,PHFG,Physics of gases,EQS,,,
1,QC161.5,QC,161,physics,gases,PHFG,Physics of gases,EQS,,,
1,QC164.5,QC,164,physics,gases,PHFG,Physics of gases,BT,,,
1,QC165.5,QC,165,physics,gases,PHFG,Physics of gases,BT,,,
5,QC166,QC,166,physics,gases,PHFG,Physics of gases,BT,,,
11,QC168,QC,168,physics,gas dynamics,PHFG,Physics of gases,BT,,,
2,QC168.7,QC,168,physics,gas dynamics,PHFG,Physics of gases,BT,,,
1,QC168.8,QC,168,physics,gas dynamics,PHFG,Physics of gases,BT,,,
1,QC168.85.D46,QC,168,physics,gas dynamics,PHFG,Physics of gases,BT,,,
3,QC168.85.S45,QC,168,physics,gas dynamics,PHFG,Physics of gases,BT,,,
1,QC168.86,QC,168,physics,gas dynamics,PHFG,Physics of gases,BT,,,
2,QC170,QC,170,physics,atomic physics,PHM,Atomic and molecular physics,EQB,,,
1,QC171,QC,171,physics,atomic physics,PHM,Atomic and molecular physics,EQB,,,
17,QC171.2,QC,171,physics,atomic physics,PHM,Atomic and molecular physics,EQB,,,
1,QC172,QC,172,physics,atomic physics,PHM,Atomic and molecular physics,BT,,,
1,QC172.2,QC,172,physics,atomic physics,PHM,Atomic and molecular physics,BT,,,
38,QC173,QC,173,physics,atomic physics,PHM,Atomic and molecular physics,BT,,,
7,QC173.3,QC,173,physics,atomic physics,PHM,Atomic and molecular physics,BT,,,
2,QC173.4.A85,QC,173,physics,atomic physics,PHM,Atomic and molecular physics,BT,,,
1,QC173.4.C63,QC,173,physics,atomic physics,PHM,Atomic and molecular physics,BT,,,
2,QC173.4.C65,QC,173,physics,atomic physics,PHM,Atomic and molecular physics,BT,,,
5,QC173.4.C74,QC,173,physics,atomic physics,PHM,Atomic and molecular physics,BT,,,
1,QC173.4.E65,QC,173,physics,atomic physics,PHM,Atomic and molecular physics,BT,,,
1,QC173.4.G53,QC,173,physics,atomic physics,PHM,Atomic and molecular physics,BT,,,
1,QC173.4.H95,QC,173,physics,atomic physics,PHM,Atomic and molecular physics,BT,,,
6,QC173.4.I57,QC,173,physics,atomic physics,PHM,Atomic and molecular physics,BT,,,
2,QC173.4.L55,QC,173,physics,atomic physics,PHM,Atomic and molecular physics,BT,,,
2,QC173.4.M48,QC,173,physics,atomic physics,PHM,Atomic and molecular physics,BT,,,
1,QC173.4.M5,QC,173,physics,atomic physics,PHM,Atomic and molecular physics,BT,,,
3,QC173.4.M65,QC,173,physics,atomic physics,PHM,Atomic and molecular physics,BT,,,
1,QC173.4.O73,QC,173,physics,atomic physics,PHM,Atomic and molecular physics,BT,,,
15,QC173.4.P65,QC,173,physics,atomic physics,PHM,Atomic and molecular physics,BT,,,
6,QC173.4.P67,QC,173,physics,atomic physics,PHM,Atomic and molecular physics,BT,,,
1,QC173.4.Q36,QC,173,physics,atomic physics,PHM,Atomic and molecular physics,BT,,,
19,QC173.4.S94,QC,173,physics,atomic physics,PHM,Atomic and molecular physics,BT,,,
1,QC173.4.S95,QC,173,physics,atomic physics,PHM,Atomic and molecular physics,BT,,,
9,QC173.45,QC,173,physics,condensed matter physics,PHFC,Condensed matter physics (liquid state and solid state physics),EQT,,,
1,QC173.45-173.458,QC,173,physics,condensed matter physics,PHFC,Condensed matter physics (liquid state and solid state physics),EQT,,,
9,QC173.454,QC,173,physics,condensed matter physics,PHFC,Condensed matter physics (liquid state and solid state physics),EQT,,,
1,QC173.456,QC,173,physics,condensed matter physics,PHFC,Condensed matter physics (liquid state and solid state physics),EQT,,,
1,QC173.457.C64,QC,173,physics,condensed matter physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
1,QC173.457.H65,QC,173,physics,condensed matter physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
2,QC173.458.E43,QC,173,physics,condensed matter physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
5,QC173.458.S62,QC,173,physics,condensed matter physics,PHFC1,Soft matter physics,EQS,,,
1,QC173.5,QC,173,physics,relativity physics,PHR,Relativity physics,EQT,,,
3,QC173.52,QC,173,physics,relativity physics,PHR,Relativity physics,EQT,,,
16,QC173.55,QC,173,physics,relativity physics,PHR,Relativity physics,EQT,,,
2,QC173.57,QC,173,physics,relativity physics,PHR,Relativity physics,EQT,,,
1,QC173.585,QC,173,physics,relativity physics,PHR,Relativity physics,BT,,,
10,QC173.59.S65,QC,173,physics,relativity physics,PHR,Relativity physics,BT,,,
28,QC173.6,QC,173,physics,relativity physics,PHR,Relativity physics,BT,,,
13,QC173.65,QC,173,physics,relativity physics,PHR,Relativity physics,BT,,,
3,QC173.68,QC,173,physics,atomic physics,PHM,Atomic and molecular physics,BT,,,
5,QC173.7,QC,173,physics,atomic physics,PHM,Atomic and molecular physics,BT,,,
1,QC173.96,QC,173,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
2,QC173.97,QC,173,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
4,QC173.98,QC,173,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
101,QC174.12,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
8,QC174.123,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
2,QC174.125,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
7,QC174.13,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
4,QC174.15,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
5,QC174.17.C45,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
2,QC174.17.D37,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
1,QC174.17.D44,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
2,QC174.17.F45,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
5,QC174.17.G7,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
1,QC174.17.H3,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
3,QC174.17.H55,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
2,QC174.17.I76,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
8,QC174.17.M35,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
2,QC174.17.M4,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
1,QC174.17.O63,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
2,QC174.17.P27,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
2,QC174.17.P68,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
9,QC174.17.P7,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
1,QC174.17.R46,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
4,QC174.17.S3,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
1,QC174.17.S76,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
9,QC174.17.S9,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
1,QC174.2,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
2,QC174.24.R4,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
14,QC174.26.W28,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
1,QC174.35.R2,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
2,QC174.4,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
21,QC174.45,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),EQB,,,
2,QC174.45.A1,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),EQB,,,
1,QC174.45-174.52,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),EQB,,,
1,QC174.52.A43,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
2,QC174.52.P37,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
1,QC174.52.S94,QC,174,physics,quantum theory,PHQ,Quantum physics (quantum mechanics and quantum field theory),BT,,,
9,QC174.7,QC,174,physics,statistical physics,PHS,Statistical physics,EQT,,,
28,QC174.8,QC,174,physics,statistical physics,PHS,Statistical physics,EQT,,,
2,QC174.84,QC,174,physics,statistical physics,PHS,Statistical physics,BT,,,
2,QC174.85.H35,QC,174,physics,statistical physics,PHS,Statistical physics,BT,,,
1,QC174.85.I8,QC,174,physics,statistical physics,PHS,Statistical physics,BT,,,
1,QC174.85.L38,QC,174,physics,statistical physics,PHS,Statistical physics,BT,,,
5,QC174.85.M64,QC,174,physics,statistical physics,PHS,Statistical physics,BT,,,
2,QC174.85.P45,QC,174,physics,statistical physics,PHS,Statistical physics,BT,,,
1,QC174.85.P48,QC,174,physics,statistical physics,PHS,Statistical physics,BT,,,
2,QC174.85.R36,QC,174,physics,statistical physics,PHS,Statistical physics,BT,,,
1,QC174.85.R364,QC,174,physics,statistical physics,PHS,Statistical physics,BT,,,
2,QC174.85.S34,QC,174,physics,statistical physics,PHS,Statistical physics,BT,,,
1,QC174.85.S46,QC,174,physics,statistical physics,PHS,Statistical physics,BT,,,
5,QC174.86.N65,QC,174,physics,statistical physics,PHS,Statistical physics,BT,,,
1,QC174.9,QC,174,physics,statistical physics,PHS,Statistical physics,BT,,,
5,QC175,QC,175,physics,statistical physics,PHS,Statistical physics,BT,,,
6,QC175.16.M6,QC,175,physics,statistical physics,PHS,Statistical physics,BT,,,
7,QC175.16.P5,QC,175,physics,statistical physics,PHS,Statistical physics,BT,,,
14,QC175.2,QC,175,physics,statistical physics,PHS,Statistical physics,BT,,,
1,QC175.25.R3,QC,175,physics,statistical physics,PHS,Statistical physics,BT,,,
6,QC175.4,QC,175,physics,atomic physics,PHS,Atomic and molecular physics,BT,,,
2,QC175.47.B65,QC,175,physics,atomic physics,PHM,Atomic and molecular physics,BT,,,
59,QC176,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),EQB,,,
3,QC176.515,QC,176,physics,solid state physics,PHM,Atomic and molecular physics,BT,,,
3,QC176.8.A3,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
1,QC176.8.A35,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
7,QC176.8.A44,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
1,QC176.8.D4,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
2,QC176.8.D5,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
4,QC176.8.E35,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
25,QC176.8.E4,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
9,QC176.8.E9,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
1,QC176.8.F4,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
1,QC176.8.H66,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
7,QC176.8.L3,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
3,QC176.8.M3,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
1,QC176.8.M48,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
5,QC176.8.M5,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
34,QC176.8.N35,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
1,QC176.8.O58,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
9,QC176.8.O6,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
4,QC176.8.P45,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
2,QC176.8.P5,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
6,QC176.8.P55,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
4,QC176.8.P6,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
1,QC176.8.P62,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
4,QC176.8.R3,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
1,QC176.8.R35,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
3,QC176.8.S68,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
5,QC176.8.S72,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
7,QC176.8.S8,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
1,QC176.8.T39,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
3,QC176.8.T4,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
2,QC176.8.T8,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
1,QC176.8.W3,QC,176,physics,solid state physics,PHFC,Condensed matter physics (liquid state and solid state physics),BT,,,
